temps,x_soleil,y_soleil,x_terre,y_terre,derive_E 
0.9788,0,0,0.9935580787991883,-0.1690045681038534,0.0076109318715122136
0.9789,0,0,0.9936630222249216,-0.1683876062996486,0.007611697127928248
0.9790,0,0,0.9937675824803351,-0.1677705793180417,0.0076124623839821295
0.9791,0,0,0.9938717595251764,-0.16715348739700409,0.007613227639673746
0.9792,0,0,0.9939755533193404,-0.166536330774532,0.007613992895004811
0.9793,0,0,0.9940789638228704,-0.16591910968864643,0.007614758149974753
0.9794,0,0,0.994181990995957,-0.16530182437739305,0.0076155234045823155
0.9795,0,0,0.9942846347989389,-0.1646844750788421,0.007616288658829212
0.9796,0,0,0.9943868951923024,-0.1640670620310883,0.007617053912715672
0.9797,0,0,0.9944887721366816,-0.1634495854722508,0.007617819166241123
0.9798,0,0,0.9945902655928588,-0.162832045640473,0.007618584419406138
0.9799,0,0,0.9946913755217637,-0.16221444277392252,0.007619349672211516
0.9800,0,0,0.9947921018844741,-0.16159677711079115,0.007620114924656685
0.9801,0,0,0.9948924446422156,-0.16097904888929465,0.00762088017674199
0.9802,0,0,0.9949924037563619,-0.1603612583476727,0.007621645428467658
0.9803,0,0,0.9950919791884343,-0.1597434057241889,0.007622410679833803
0.9804,0,0,0.9951911709001022,-0.15912549125713055,0.007623175930841226
0.9805,0,0,0.995289978853183,-0.15850751518480857,0.007623941181489356
0.9806,0,0,0.995388403009642,-0.15788947774555756,0.007624706431778649
